gene_id	GeneSymbol	Chromosome	Strand	Class
ENSG00000263396	AP005119.1	18:1357651-1357942	+	processed_pseudogene
ENSG00000265417	AP005119.2	18:1362445-1363873	-	processed_pseudogene
ENSG00000266602	AP005262.2	18:1509022-2049510	+	lncRNA
ENSG00000266450	AC019183.1	18:1655177-1779955	+	lncRNA
ENSG00000264080	AP005057.1	18:1780329-1782064	+	lncRNA
ENSG00000263745	AP005230.1	18:1883524-2489426	-	lncRNA
ENSG00000264189	AP005262.1	18:1927727-1929094	-	processed_pseudogene
ENSG00000286975	AP005136.3	18:2506628-2511580	-	lncRNA
ENSG00000101574	METTL4	18:2537525-2571509	-	protein_coding
ENSG00000238575	RF01233	18:2555358-2555492	+	snoRNA
ENSG00000266783	AP005136.2	18:2561172-2562220	-	lncRNA
ENSG00000264150	AP005136.1	18:2568392-2569122	+	processed_pseudogene
ENSG00000080986	NDC80	18:2571557-2616635	+	protein_coding
ENSG00000235422	KATNBL1P3	18:2593674-2594913	-	processed_pseudogene
ENSG00000202224	RF00019	18:2621090-2621201	+	misc_RNA
ENSG00000200875	RNU6-340P	18:2649761-2649867	-	snRNA
ENSG00000266405	AP005061.1	18:2652170-2655395	-	transcribed_processed_pseudogene
ENSG00000101596	SMCHD1	18:2655738-2805017	+	protein_coding
ENSG00000266049	AP001011.1	18:2688564-2833065	-	lncRNA
ENSG00000207034	RF00019	18:2778941-2779057	+	misc_RNA
ENSG00000132205	EMILIN2	18:2847006-2916003	+	protein_coding
ENSG00000101577	LPIN2	18:2916994-3013315	-	protein_coding
ENSG00000272625	AP000919.4	18:2920966-2921685	+	lncRNA
ENSG00000263606	AP000919.1	18:2945550-2946890	-	transcribed_processed_pseudogene
ENSG00000265907	AP000919.2	18:2948238-2960756	+	lncRNA
ENSG00000266397	AP000919.3	18:2967018-2985410	+	lncRNA
ENSG00000264186	SNRPCP4	18:2990652-2991078	+	processed_pseudogene
ENSG00000277447	AP005431.1	18:3025069-3025387	-	processed_pseudogene
ENSG00000252258	RF00156	18:3025434-3025566	-	snoRNA
ENSG00000101605	MYOM1	18:3066807-3220108	-	protein_coding
ENSG00000252353	RNU7-25P	18:3093568-3093629	+	snRNA
ENSG00000265399	AP005329.2	18:3190397-3247277	+	lncRNA
ENSG00000272688	AP005329.3	18:3246401-3247086	-	lncRNA
ENSG00000101608	MYL12A	18:3247481-3256236	+	protein_coding
ENSG00000264235	AP005329.1	18:3255436-3261850	-	lncRNA
ENSG00000118680	MYL12B	18:3261479-3278431	+	protein_coding
ENSG00000266578	AP001025.1	18:3284120-3330984	+	lncRNA
ENSG00000259256	LINC01895	18:3347696-3383532	-	lncRNA
ENSG00000240364	RPL31P59	18:3377916-3378247	-	processed_pseudogene
ENSG00000265243	IGLJCOR18	18:3394889-3395312	+	IG_C_pseudogene
ENSG00000243720	RPL21P127	18:3406342-3406818	-	processed_pseudogene
ENSG00000177426	TGIF1	18:3411608-3459978	+	protein_coding
ENSG00000263460	BOD1P1	18:3415145-3415580	+	transcribed_processed_pseudogene
ENSG00000266835	GAPLINC	18:3466250-3478978	+	lncRNA
ENSG00000170579	DLGAP1	18:3496032-4455307	-	protein_coding
ENSG00000241223	RN7SL39P	18:3571215-3571511	-	misc_RNA
ENSG00000266373	AP002472.1	18:3580169-3580754	+	processed_pseudogene
ENSG00000177337	DLGAP1-AS1	18:3593732-3598363	+	lncRNA
ENSG00000262001	DLGAP1-AS2	18:3603000-3608336	+	lncRNA
ENSG00000266401	AP002478.1	18:3653030-3656282	+	lncRNA
ENSG00000266513	AP002478.2	18:3770017-3771430	-	lncRNA
ENSG00000263724	DLGAP1-AS3	18:3878058-3897069	+	lncRNA
ENSG00000275518	MIR6718	18:3885353-3885432	+	miRNA
ENSG00000207278	RNU6-831P	18:3894699-3894805	-	snRNA
ENSG00000263878	DLGAP1-AS4	18:3962353-4024150	+	lncRNA
ENSG00000250933	GAPDHP66	18:3977649-3978615	-	processed_pseudogene
ENSG00000261520	DLGAP1-AS5	18:4264602-4295405	+	lncRNA
ENSG00000264246	AP005208.1	18:4430945-4431152	+	processed_pseudogene
ENSG00000265545	AP005403.1	18:4459230-4459458	+	processed_pseudogene
ENSG00000266268	AP005203.1	18:4775054-5004537	-	lncRNA
ENSG00000264775	PPIAP14	18:5002759-5003254	-	processed_pseudogene
ENSG00000265514	LINC01892	18:5081171-5098780	+	lncRNA
ENSG00000215368	BOD1P2	18:5132749-5133229	-	processed_pseudogene
ENSG00000231824	AKAIN1	18:5145285-5197503	-	protein_coding
ENSG00000266153	AP005380.1	18:5159332-5171026	+	lncRNA
ENSG00000285575	AP001496.4	18:5197165-5215497	+	lncRNA
ENSG00000265091	AP001496.2	18:5232876-5238526	-	lncRNA
ENSG00000264575	LINC00526	18:5236724-5238598	-	lncRNA
ENSG00000263753	LINC00667	18:5237826-5290608	+	lncRNA
ENSG00000265188	AP001496.3	18:5240255-5241167	-	processed_pseudogene
ENSG00000198081	ZBTB14	18:5289019-5297053	-	protein_coding
ENSG00000264254	AP001496.1	18:5310396-5317664	+	lncRNA
ENSG00000266288	AP005671.1	18:5381641-5385330	-	lncRNA
ENSG00000082397	EPB41L3	18:5392381-5630700	-	protein_coding
ENSG00000265316	AP005059.2	18:5463627-5480975	+	lncRNA
ENSG00000264000	AP005059.1	18:5567130-5570942	+	lncRNA
ENSG00000261738	MIR3976HG	18:5721812-5876328	+	lncRNA
ENSG00000272380	MIR3976	18:5840695-5840833	+	miRNA
ENSG00000206432	TMEM200C	18:5882072-5895955	-	protein_coding
ENSG00000264449	AP001021.1	18:5887487-5989369	+	lncRNA
ENSG00000266846	AP001021.3	18:5895745-6108382	+	lncRNA
ENSG00000154655	L3MBTL4	18:5954706-6415237	-	protein_coding
ENSG00000265487	AP001021.2	18:5956101-5960785	+	lncRNA
ENSG00000200637	RNU5F-3P	18:6017723-6017839	-	snRNA
ENSG00000264707	L3MBTL4-AS1	18:6256747-6260934	+	lncRNA
ENSG00000283532	MIR4317	18:6374361-6374425	-	miRNA
ENSG00000279885	AP005060.1	18:6394847-6398020	-	TEC
ENSG00000199272	RNU6-349P	18:6454962-6455068	+	snRNA
ENSG00000235552	RPL6P27	18:6462144-6463015	-	transcribed_processed_pseudogene
ENSG00000266065	AP005202.2	18:6493420-6495668	+	lncRNA
ENSG00000265944	LINC01387	18:6511416-6590653	+	lncRNA
ENSG00000265174	AP005202.1	18:6557822-6558654	+	lncRNA
ENSG00000243591	RN7SL282P	18:6601540-6601836	+	misc_RNA
ENSG00000261627	AP005205.1	18:6641971-6642478	-	lncRNA
ENSG00000279479	AP005205.3	18:6727053-6728981	+	TEC
ENSG00000266441	AP005205.2	18:6728821-6729862	-	lncRNA
ENSG00000088756	ARHGAP28	18:6729718-6915716	+	protein_coding
ENSG00000287834	AP005210.2	18:6784614-6796503	-	lncRNA
ENSG00000263797	AP005210.1	18:6873399-6875024	-	lncRNA
ENSG00000265933	LINC00668	18:6919496-6929966	-	lncRNA
ENSG00000264127	SCML2P1	18:6926944-6928210	+	processed_pseudogene
ENSG00000251897	RNU6-916P	18:6936912-6937020	-	snRNA
ENSG00000101680	LAMA1	18:6941742-7117797	-	protein_coding
ENSG00000265069	AP002409.1	18:6954677-6957419	+	lncRNA
ENSG00000264475	AP005062.1	18:7076817-7080123	+	lncRNA
ENSG00000263716	SLC25A51P2	18:7134931-7135819	+	processed_pseudogene
ENSG00000206422	LRRC30	18:7231125-7232047	+	protein_coding
ENSG00000212626	RF00554	18:7301020-7301153	-	snoRNA
ENSG00000286126	AP001095.1	18:7455844-7461135	-	lncRNA
ENSG00000173482	PTPRM	18:7566782-8406861	+	protein_coding
ENSG00000266767	AP000897.2	18:7741310-7754831	-	lncRNA
ENSG00000264596	AP000897.1	18:7814118-7815730	+	lncRNA
ENSG00000199856	RF00012	18:7995570-7995785	+	snoRNA
ENSG00000286627	AP005900.1	18:8012257-8016565	-	lncRNA
ENSG00000286649	AC006566.2	18:8133203-8136032	-	lncRNA
ENSG00000273368	AC006566.1	18:8154558-8155070	+	lncRNA
ENSG00000266149	AP001094.3	18:8360820-8367034	-	lncRNA
ENSG00000265413	AP001094.2	18:8402847-8405161	+	lncRNA
ENSG00000263970	AP001094.1	18:8406761-8406953	-	lncRNA
ENSG00000266613	COP1P1	18:8412129-8414304	+	processed_pseudogene
ENSG00000242985	RN7SL50P	18:8471831-8472128	+	misc_RNA
ENSG00000229442	THEMIS3P	18:8486997-8513849	+	unitary_pseudogene
ENSG00000225212	AKR1B1P6	18:8545635-8546817	+	processed_pseudogene
ENSG00000206418	RAB12	18:8609437-8639382	+	protein_coding
ENSG00000266708	AP001793.1	18:8635179-8636347	-	lncRNA
ENSG00000263935	TOMM20P3	18:8688022-8688410	-	processed_pseudogene
ENSG00000265962	GACAT2	18:8695856-8707621	-	lncRNA
ENSG00000168502	MTCL1	18:8705661-8832778	+	protein_coding
ENSG00000252319	RF00019	18:8720034-8720132	-	misc_RNA
ENSG00000272788	AP000864.1	18:8801656-8802305	+	lncRNA
ENSG00000287719	AP001531.1	18:8913999-8919414	+	lncRNA
ENSG00000286765	AP005899.2	18:8971624-8974580	+	lncRNA
ENSG00000242058	RPS4XP19	18:9020029-9020764	+	processed_pseudogene
ENSG00000178127	NDUFV2	18:9102630-9134345	+	protein_coding
ENSG00000265257	AP005263.1	18:9102736-9254346	+	lncRNA
ENSG00000263847	AP005899.1	18:9112404-9115877	-	lncRNA
ENSG00000266053	NDUFV2-AS1	18:9121265-9136645	-	lncRNA
ENSG00000101745	ANKRD12	18:9136228-9285985	+	protein_coding
ENSG00000200883	RF00019	18:9249649-9249746	-	misc_RNA
ENSG00000207092	RF00019	18:9250110-9250211	+	misc_RNA
ENSG00000273284	AP001033.2	18:9259388-9260390	+	lncRNA
ENSG00000264964	AP001033.1	18:9310522-9334445	-	lncRNA
ENSG00000128791	TWSG1	18:9334767-9402420	+	protein_coding
ENSG00000287509	AP001033.3	18:9335269-9336242	+	lncRNA
ENSG00000273335	AP005432.2	18:9473421-9474006	-	lncRNA
ENSG00000017797	RALBP1	18:9475009-9538114	+	protein_coding
ENSG00000266805	AP005432.1	18:9506242-9509726	+	lncRNA
ENSG00000251994	RNU2-27P	18:9518119-9518260	-	snRNA
ENSG00000154845	PPP4R1	18:9546791-9615240	-	protein_coding
ENSG00000266541	AP001381.1	18:9587386-9590182	+	lncRNA
ENSG00000263627	PPP4R1-AS1	18:9615264-9619363	+	lncRNA
ENSG00000212572	RNU6-903P	18:9617964-9618072	-	snRNA
ENSG00000285594	AP000902.2	18:9646110-9648502	+	lncRNA
ENSG00000264644	KRT18P8	18:9678248-9679493	-	processed_pseudogene
ENSG00000168461	RAB31	18:9708275-9862551	+	protein_coding
ENSG00000266891	AP000902.1	18:9734882-9735602	-	processed_pseudogene
ENSG00000266127	ZNF415P1	18:9785108-9787805	+	processed_pseudogene
ENSG00000242651	RN7SL862P	18:9830330-9830627	-	misc_RNA
ENSG00000285653	AC006238.2	18:9840340-9841559	-	lncRNA
ENSG00000252680	RNA5SP449	18:9844717-9844846	-	rRNA_pseudogene
ENSG00000265564	PIGPP4	18:9880580-9880886	-	processed_pseudogene
ENSG00000168454	TXNDC2	18:9885726-9889275	+	protein_coding
ENSG00000272799	AC006238.1	18:9912316-9912849	-	lncRNA
ENSG00000101558	VAPA	18:9914002-9960021	+	protein_coding
ENSG00000223138	RNA5SP450	18:9923920-9924021	+	rRNA_pseudogene
ENSG00000265554	AP005271.1	18:10124588-10144406	+	lncRNA
ENSG00000287065	AP005209.2	18:10297299-10323565	+	lncRNA
ENSG00000264876	AP005209.1	18:10321380-10372387	-	lncRNA
ENSG00000266102	AP006219.1	18:10375103-10378114	+	lncRNA
ENSG00000286499	AP006219.2	18:10380423-10390344	+	lncRNA
ENSG00000260913	LINC01254	18:10405133-10414515	-	lncRNA
ENSG00000287563	AP006219.3	18:10406558-10422360	+	lncRNA
ENSG00000154856	APCDD1	18:10454635-10489949	+	protein_coding
ENSG00000134265	NAPG	18:10525905-10552764	+	protein_coding
ENSG00000265728	AP001099.1	18:10594590-10604798	+	lncRNA
ENSG00000266604	LINC01887	18:10612304-10626353	-	lncRNA
ENSG00000264503	AP001180.3	18:10622123-10622267	-	processed_pseudogene
ENSG00000264311	CCDC58P1	18:10623876-10624305	-	processed_pseudogene
ENSG00000264072	AP001180.2	18:10627646-10628846	-	lncRNA
ENSG00000266470	AP001180.5	18:10632238-10632396	+	unprocessed_pseudogene
ENSG00000265038	PMM2P1	18:10636670-10637399	+	processed_pseudogene
ENSG00000260779	AP001180.1	18:10661933-10666887	+	lncRNA
ENSG00000154864	PIEZO2	18:10666483-11148762	-	protein_coding
ENSG00000264843	AP001180.4	18:10704297-10709599	+	lncRNA
ENSG00000264714	KIAA0895LP1	18:10724619-10728539	+	transcribed_processed_pseudogene
ENSG00000274838	MIR6788	18:10759584-10759649	-	miRNA
ENSG00000263952	AP005120.1	18:10893617-10908783	+	lncRNA
ENSG00000263682	AP005139.1	18:11326270-11328832	+	unprocessed_pseudogene
ENSG00000267051	AP005229.1	18:11366913-11378409	-	lncRNA
ENSG00000273119	AP005229.2	18:11390033-11390729	-	lncRNA
ENSG00000267564	AP001109.1	18:11447756-11489369	-	lncRNA
ENSG00000267425	LINC01928	18:11454478-11465996	+	lncRNA
ENSG00000267252	LINC01255	18:11486205-11523087	+	lncRNA
ENSG00000267371	AP001017.1	18:11552366-11552847	+	processed_pseudogene
ENSG00000236396	SLC35G4	18:11609596-11610612	+	protein_coding
ENSG00000267794	AP001120.4	18:11618208-11618315	+	processed_pseudogene
ENSG00000257513	NPIPB1P	18:11619509-11639699	-	transcribed_unprocessed_pseudogene
ENSG00000267143	AP001120.2	18:11620717-11621158	-	lncRNA
ENSG00000267773	AP001120.3	18:11644336-11644824	+	unprocessed_pseudogene
ENSG00000283492	MIR7153	18:11654885-11654941	-	miRNA
ENSG00000260759	AP001120.1	18:11666456-11670165	-	lncRNA
ENSG00000141404	GNAL	18:11689264-11885685	+	protein_coding
ENSG00000267333	ASNSP6	18:11745626-11747581	+	processed_pseudogene
ENSG00000286812	AP001120.5	18:11758977-11786181	-	lncRNA
ENSG00000267455	AP005137.1	18:11810406-11811484	-	lncRNA
ENSG00000255112	CHMP1B	18:11851396-11854449	+	protein_coding
ENSG00000267165	CHMP1B-AS1	18:11851414-11852751	-	lncRNA
ENSG00000272703	AP005137.2	18:11857155-11857554	-	lncRNA
ENSG00000154889	MPPE1	18:11882622-11909223	-	protein_coding
ENSG00000273141	AP001269.4	18:11908712-11909223	+	lncRNA
ENSG00000267079	AP001269.2	18:11910634-11914344	-	lncRNA
ENSG00000267661	AP001269.3	18:11928838-11929476	+	processed_pseudogene
ENSG00000141401	IMPA2	18:11981025-12030877	+	protein_coding
ENSG00000266955	AP001269.1	18:11993988-11994938	-	lncRNA
ENSG00000267480	AP001542.3	18:12031178-12032181	-	lncRNA
ENSG00000266995	AP001542.1	18:12040101-12040300	-	processed_pseudogene
ENSG00000267292	AP001542.2	18:12050309-12050672	-	processed_pseudogene
ENSG00000212712	AP002414.1	18:12056676-12057822	-	processed_pseudogene
ENSG00000267533	AP002414.4	18:12067173-12068417	-	processed_pseudogene
ENSG00000256616	AP002414.2	18:12073232-12076654	-	transcribed_processed_pseudogene
ENSG00000267722	AP002414.5	18:12081540-12085267	+	lncRNA
ENSG00000267478	AP002414.3	18:12091674-12093141	-	processed_pseudogene
ENSG00000181626	ANKRD62	18:12093853-12129749	+	protein_coding
ENSG00000200827	RNU6-324P	18:12098427-12098532	+	snRNA
ENSG00000267162	SDHDP1	18:12101997-12102470	-	processed_pseudogene
ENSG00000267116	AP005264.2	18:12192203-12192934	-	processed_pseudogene
ENSG00000279285	AP005264.6	18:12199345-12200089	+	TEC
ENSG00000267643	AP005264.4	18:12200779-12201979	+	lncRNA
ENSG00000267733	AP005264.5	18:12201982-12223539	+	transcribed_processed_pseudogene
ENSG00000267076	CCDC58P3	18:12211378-12211807	+	processed_pseudogene
ENSG00000267247	AP005264.3	18:12230411-12231573	-	lncRNA
ENSG00000267663	PPIAP56	18:12246589-12247055	+	processed_pseudogene
ENSG00000176194	CIDEA	18:12254319-12277595	+	protein_coding
ENSG00000280302	AP005264.7	18:12279427-12282739	+	TEC
ENSG00000267069	AP005264.1	18:12288308-12291488	+	lncRNA
ENSG00000199702	RNU6-170P	18:12304091-12304194	-	snRNA
ENSG00000176014	TUBB6	18:12307669-12344320	+	protein_coding
ENSG00000141385	AFG3L2	18:12328944-12377314	-	protein_coding
ENSG00000251937	RNU7-129P	18:12400412-12400473	+	snRNA
ENSG00000141391	PRELID3A	18:12407896-12432238	+	protein_coding
ENSG00000267108	AP001029.1	18:12432897-12437635	+	lncRNA
ENSG00000267199	AP001029.2	18:12438890-12448205	+	lncRNA
ENSG00000134278	SPIRE1	18:12446512-12658134	-	protein_coding
ENSG00000267515	AP001029.3	18:12450447-12451042	+	processed_pseudogene
ENSG00000128789	PSMG2	18:12658043-12725740	+	protein_coding
ENSG00000101624	CEP76	18:12661833-12702777	-	protein_coding
ENSG00000267249	AP005482.3	18:12670426-12671145	-	lncRNA
ENSG00000266961	AP005482.2	18:12738965-12750068	-	lncRNA
ENSG00000260302	AP005482.1	18:12739490-12776140	-	lncRNA
ENSG00000201466	RF00019	18:12760717-12760818	+	misc_RNA
ENSG00000175354	PTPN2	18:12785478-12929643	-	protein_coding
ENSG00000267570	STK25P1	18:12911186-12912023	+	processed_pseudogene
ENSG00000267336	EIF4A2P1	18:12912844-12913906	+	processed_pseudogene
ENSG00000085415	SEH1L	18:12947133-12987536	+	protein_coding
ENSG00000266969	AP002449.1	18:12984694-12991173	-	lncRNA
ENSG00000101639	CEP192	18:12991362-13125052	+	protein_coding
ENSG00000267656	AP001357.2	18:13139780-13140489	-	processed_pseudogene
ENSG00000267032	AP001357.1	18:13151637-13152689	-	processed_pseudogene
ENSG00000267286	AP001198.2	18:13183402-13185617	-	lncRNA
ENSG00000267239	AP001198.1	18:13203774-13216367	-	lncRNA
ENSG00000168675	LDLRAD4	18:13217498-13652755	+	protein_coding
ENSG00000267177	AP002505.1	18:13234945-13236470	-	lncRNA
ENSG00000279020	C18orf15	18:13239543-13242076	+	TEC
ENSG00000286926	AP002505.3	18:13276427-13277155	-	lncRNA
ENSG00000279275	AP002505.2	18:13279415-13280110	-	TEC
ENSG00000267393	AP002439.1	18:13362203-13366243	-	lncRNA
ENSG00000267690	LDLRAD4-AS1	18:13419421-13427480	-	lncRNA
ENSG00000266146	MIR5190	18:13459947-13460026	+	miRNA
ENSG00000267694	AP005131.5	18:13461020-13470823	-	lncRNA
ENSG00000267529	AP005131.4	18:13471012-13472709	-	lncRNA
ENSG00000267702	AP005131.6	18:13486462-13490676	+	lncRNA
ENSG00000267366	AP005131.2	18:13500641-13501289	-	lncRNA
ENSG00000267136	AP005131.1	18:13514520-13522888	-	lncRNA
ENSG00000272746	AP005131.7	18:13526078-13526688	+	lncRNA
ENSG00000267503	AP005131.3	18:13561399-13565035	-	lncRNA
ENSG00000263527	MIR4526	18:13611114-13611200	+	miRNA
ENSG00000266954	AP001010.1	18:13644815-13645685	-	lncRNA
ENSG00000177150	FAM210A	18:13663347-13726663	-	protein_coding
ENSG00000279962	AP001525.1	18:13710249-13710484	-	TEC
ENSG00000242707	RN7SL362P	18:13715102-13715368	-	misc_RNA
ENSG00000101654	RNMT	18:13726660-13764558	+	protein_coding
ENSG00000176136	MC5R	18:13824149-13827323	+	protein_coding
ENSG00000185231	MC2R	18:13882044-13915707	-	protein_coding
ENSG00000243779	AP001086.1	18:13919603-13919923	-	processed_pseudogene
ENSG00000279352	AC006557.6	18:14010054-14010917	+	TEC
ENSG00000270469	AC006557.5	18:14053951-14054761	+	processed_pseudogene
ENSG00000175322	ZNF519	18:14057457-14132490	-	protein_coding
ENSG00000267756	AC006557.4	18:14074912-14075741	-	unprocessed_pseudogene
ENSG00000267150	AC006557.1	18:14089935-14091019	+	lncRNA
ENSG00000267356	AC006557.3	18:14104542-14105226	+	lncRNA
ENSG00000267704	FRG2LP	18:14137710-14139272	+	processed_pseudogene
ENSG00000267324	AC006557.2	18:14143596-14151139	-	processed_pseudogene
ENSG00000175319	NF1P5	18:14153001-14157342	-	processed_pseudogene
ENSG00000186481	ANKRD20A5P	18:14179097-14252140	+	transcribed_unprocessed_pseudogene
ENSG00000212329	RNU6-316P	18:14190700-14190806	+	snRNA
ENSG00000266145	RHOT1P1	18:14222008-14222331	+	processed_pseudogene
ENSG00000283294	AP005212.4	18:14225224-14342505	+	lncRNA
ENSG00000274214	AP005212.2	18:14253548-14254075	+	processed_pseudogene
ENSG00000265787	CYP4F35P	18:14337423-14342524	+	transcribed_unprocessed_pseudogene
ENSG00000277743	AP005212.3	18:14346214-14346923	-	processed_pseudogene
ENSG00000265437	AP005212.1	18:14361434-14361943	-	processed_pseudogene
ENSG00000187589	TERF1P2	18:14377546-14378757	-	processed_pseudogene
ENSG00000265296	FEM1AP2	18:14391913-14393909	-	processed_pseudogene
ENSG00000286593	AP006261.1	18:14404551-14430923	-	lncRNA
ENSG00000266605	LONRF2P1	18:14450216-14450883	-	processed_pseudogene
ENSG00000265766	CXADRP3	18:14477955-14499278	-	transcribed_processed_pseudogene
ENSG00000266242	GRAMD4P7	18:14485806-14487501	+	processed_pseudogene
ENSG00000183206	POTEC	18:14507339-14543585	-	protein_coding
ENSG00000200132	RNU6-1021P	18:14531676-14531782	-	snRNA
ENSG00000265340	OR4K7P	18:14570844-14571788	+	unprocessed_pseudogene
ENSG00000266693	OR4K8P	18:14613137-14614184	+	unprocessed_pseudogene
ENSG00000264570	SNX19P3	18:14629832-14632806	-	processed_pseudogene
ENSG00000273732	VN1R74P	18:14680604-14681106	-	unprocessed_pseudogene
ENSG00000276318	GTF2IP8	18:14695422-14706597	+	unprocessed_pseudogene
ENSG00000180777	ANKRD30B	18:14728272-14854038	+	protein_coding
ENSG00000200645	RNU6-1210P	18:14759188-14759294	+	snRNA
ENSG00000265737	AP006565.1	18:14816151-14825249	-	lncRNA
ENSG00000265499	MIR3156-2	18:14830166-14830242	+	miRNA
ENSG00000265786	LINC01906	18:14877611-14884052	+	lncRNA
ENSG00000264061	FGF7P1	18:14888709-14890086	-	unprocessed_pseudogene
ENSG00000263618	AP005121.1	18:14903580-14915628	+	lncRNA
ENSG00000266554	LINC01443	18:14946267-14974215	+	lncRNA
ENSG00000264301	LINC01444	18:14969001-14970468	-	lncRNA
ENSG00000263821	AP005121.2	18:14978739-14979839	+	lncRNA
ENSG00000279042	AP005242.4	18:14990707-14993235	-	TEC
ENSG00000266522	AP005242.2	18:15003975-15006352	-	unprocessed_pseudogene
ENSG00000278923	AP005242.3	18:15056845-15066598	-	lncRNA
ENSG00000263635	AP005242.1	18:15075445-15122767	+	lncRNA
ENSG00000286815	AP005242.5	18:15139255-15150980	-	lncRNA
ENSG00000264880	AP005901.2	18:15159724-15164467	-	lncRNA
ENSG00000287723	AP005901.6	18:15165338-15172007	+	lncRNA
ENSG00000286293	AP005901.5	18:15184016-15189760	-	lncRNA
ENSG00000265015	AP005901.3	18:15196999-15197775	-	transcribed_processed_pseudogene
ENSG00000265631	BNIP3P3	18:15247429-15247997	-	processed_pseudogene
ENSG00000266818	AP005901.4	18:15254418-15271744	+	unprocessed_pseudogene
ENSG00000215512	AP005901.1	18:15307663-15330282	-	transcribed_unprocessed_pseudogene
ENSG00000222087	RNU6-721P	18:15320840-15320944	-	snRNA
ENSG00000067900	ROCK1	18:20946906-21111813	-	protein_coding
ENSG00000244527	AC022795.1	18:21119182-21119661	-	processed_pseudogene
ENSG00000251886	RNU6-120P	18:21120404-21120506	-	snRNA
ENSG00000263748	EXOGP1	18:21182503-21183499	-	processed_pseudogene
ENSG00000265984	AC022809.1	18:21240675-21241371	-	lncRNA
ENSG00000141449	GREB1L	18:21242242-21525417	+	protein_coding
ENSG00000265948	AC015878.2	18:21316878-21317795	+	lncRNA
ENSG00000265751	AC015878.1	18:21380286-21451017	-	lncRNA
ENSG00000221139	RF00603	18:21450653-21450756	-	snoRNA
ENSG00000141446	ESCO1	18:21529284-21600884	-	protein_coding
ENSG00000167088	SNRPD1	18:21612314-21633524	+	protein_coding
ENSG00000158201	ABHD3	18:21650901-21704780	-	protein_coding
ENSG00000264188	AC106037.1	18:21661787-21662395	-	lncRNA
ENSG00000265656	AC106037.2	18:21673628-21682561	+	lncRNA
ENSG00000221493	MIR320C1	18:21683510-21683597	+	miRNA
ENSG00000101752	MIB1	18:21704957-21870957	+	protein_coding
ENSG00000252677	RF01241	18:21711950-21712119	-	snoRNA
ENSG00000200750	RF00019	18:21724119-21724229	+	misc_RNA
ENSG00000242971	RN7SL233P	18:21793883-21794159	+	misc_RNA
ENSG00000199977	RF00045	18:21817624-21817828	+	snoRNA
ENSG00000265142	MIR133A1HG	18:21825487-21831539	-	lncRNA
ENSG00000283927	MIR133A1	18:21825698-21825785	-	miRNA
ENSG00000284453	MIR1-2	18:21829004-21829088	-	miRNA
ENSG00000243303	AC103987.1	18:21854640-21854987	-	processed_pseudogene
ENSG00000264149	AC103987.2	18:21871446-21893996	-	lncRNA
ENSG00000252325	RNU6-1038P	18:21879801-21879904	+	snRNA
ENSG00000264289	AC103987.3	18:21914369-21914660	-	processed_pseudogene
ENSG00000222520	RNA5SP451	18:21928985-21929094	-	rRNA_pseudogene
ENSG00000265758	LINC01900	18:21981121-22051159	+	lncRNA
ENSG00000263588	AC091043.1	18:22088060-22098780	+	lncRNA
ENSG00000221363	RNU6ATAC20P	18:22130603-22130729	-	snRNA
ENSG00000266010	GATA6-AS1	18:22164886-22169878	-	lncRNA
ENSG00000141448	GATA6	18:22169392-22202528	+	protein_coding
ENSG00000264012	AC091588.1	18:22175465-22176662	-	lncRNA
ENSG00000201852	RNU6-702P	18:22180112-22180218	-	snRNA
ENSG00000266283	AC091588.3	18:22200619-22205229	-	lncRNA
ENSG00000264825	AC091588.2	18:22213778-22228029	+	lncRNA
ENSG00000273348	AC027449.1	18:22347846-22348252	-	lncRNA
ENSG00000212710	CTAGE1	18:22413601-22417915	-	protein_coding
ENSG00000270855	AC099849.1	18:22418829-22419294	-	processed_pseudogene
ENSG00000239490	RPS4XP18	18:22586465-22587227	+	processed_pseudogene
ENSG00000206827	RNU6-1032P	18:22647582-22647688	+	snRNA
ENSG00000265943	AC090912.1	18:22699481-22933764	-	lncRNA
ENSG00000266850	AC090912.2	18:22723491-22907721	-	lncRNA
ENSG00000101773	RBBP8	18:22798261-23026488	+	protein_coding
ENSG00000273232	AC090912.3	18:22882825-22883357	-	lncRNA
ENSG00000265939	UBE2CP2	18:22900486-22900995	-	processed_pseudogene
ENSG00000284331	MIR4741	18:22933349-22933438	+	miRNA
ENSG00000242182	RN7SL745P	18:23004564-23004862	+	misc_RNA
ENSG00000223023	RF00019	18:23024596-23024703	+	misc_RNA
ENSG00000134508	CABLES1	18:23134564-23260467	+	protein_coding
ENSG00000134490	TMEM241	18:23197144-23437961	-	protein_coding
ENSG00000266495	AC011731.1	18:23257164-23260354	-	lncRNA
ENSG00000101782	RIOK3	18:23453287-23486603	+	protein_coding
ENSG00000199357	RF00019	18:23456371-23456467	+	misc_RNA
ENSG00000283084	AC026634.1	18:23485000-23485197	+	processed_pseudogene
ENSG00000141452	RMC1	18:23503470-23531807	+	protein_coding
ENSG00000141458	NPC1	18:23506184-23586506	-	protein_coding
ENSG00000199366	RF00019	18:23582016-23582121	-	misc_RNA
ENSG00000154065	ANKRD29	18:23598926-23662911	-	protein_coding
ENSG00000267752	RPS10P27	18:23672253-23672748	-	processed_pseudogene
ENSG00000053747	LAMA3	18:23689443-23956222	+	protein_coding
